2025-10-31 15:49:32.134 [main] INFO  c.q.xiaohashu.user.biz.XiaohashuUserBizApplication - Starting XiaohashuUserBizApplication using Java 17.0.12 with PID 21832 (E:\xiaohashu\xiaohashu-user\xiaosashu-user-biz\target\classes started by hp in E:\xiaohashu)
2025-10-31 15:51:30.920 [main] INFO  com.alibaba.nacos.common.remote.client - [42b0545c-ac42-4dcf-b11d-2173bef2ba3a] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-10-31 15:51:30.920 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.client.naming - Grpc connection connect
2025-10-31 15:51:30.921 [main] INFO  com.alibaba.nacos.common.remote.client - [42b0545c-ac42-4dcf-b11d-2173bef2ba3a] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$909/0x000001c2da580440
2025-10-31 15:51:30.921 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] xiaohashu registering service xiaohashu-user with instance Instance{instanceId='null', ip='192.168.134.1', port=8082, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={IPv6=null, preserved.register.source=SPRING_CLOUD}}
2025-10-31 15:51:30.932 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP xiaohashu-user 192.168.134.1:8082 register finished
2025-10-31 15:51:32.060 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 15:51:32.064 [main] INFO  c.q.xiaohashu.user.biz.XiaohashuUserBizApplication - Started XiaohashuUserBizApplication in 7.726 seconds (process running for 8.143)
2025-10-31 16:04:44.754 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 16:04:44.789 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 16:04:46.132 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 16:04:46.139 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 16:04:46.140 [main] INFO  c.q.xiaohashu.user.biz.XiaohashuUserBizApplication - The following 1 profile is active: "dev"
2025-10-31 16:04:46.474 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a6f58b0b-b111-35bd-9100-0bc41da49db4
2025-10-31 16:04:46.646 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2025-10-31 16:04:46.652 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-10-31 16:04:46.652 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-10-31 16:04:46.735 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-31 16:04:46.735 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 582 ms
2025-10-31 16:04:48.053 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 16:04:48.229 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-10-31 16:04:48.376 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-10-31 16:04:49.644 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 16:04:49.695 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2025-10-31 16:04:49.699 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 16:04:49.699 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ans.namespace attribute : null
2025-10-31 16:04:49.699 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ALIBABA_ALIWARE_NAMESPACE attribute :null
2025-10-31 16:04:49.699 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from namespace attribute :null
2025-10-31 16:04:49.709 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [req-serv] nacos-server port:8848
2025-10-31 16:04:49.709 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [http-client] connect timeout:1000
2025-10-31 16:04:49.710 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - PER_TASK_CONFIG_SIZE: 3000.0
2025-10-31 16:04:49.712 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-10-31 16:04:49.712 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-10-31 16:04:49.713 [main] INFO  c.a.n.client.auth.ram.identify.CredentialWatcher - null No credential found
2025-10-31 16:04:49.716 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7
2025-10-31 16:04:49.724 [main] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2025-10-31 16:04:49.724 [main] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2025-10-31 16:04:49.725 [main] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2025-10-31 16:04:49.726 [main] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2025-10-31 16:04:49.746 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:127.0.0.1 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-10-31 16:04:50.277 [main] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1761897890132_127.0.0.1_10323
2025-10-31 16:04:50.277 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] Notify connected event to listeners.
2025-10-31 16:04:50.277 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.client.naming - Grpc connection connect
2025-10-31 16:04:50.278 [main] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-10-31 16:04:50.278 [main] INFO  com.alibaba.nacos.common.remote.client - [b2fc01da-9cd5-4c1e-a80f-b1d95714c7b7] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$1041/0x0000019ed5687b20
2025-10-31 16:04:50.279 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] xiaohashu registering service xiaohashu-user with instance Instance{instanceId='null', ip='192.168.134.1', port=8082, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={IPv6=null, preserved.register.source=SPRING_CLOUD}}
2025-10-31 16:04:50.292 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP xiaohashu-user 192.168.134.1:8082 register finished
2025-10-31 16:04:51.462 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 16:04:51.469 [main] INFO  c.q.xiaohashu.user.biz.XiaohashuUserBizApplication - Started XiaohashuUserBizApplication in 8.253 seconds (process running for 8.741)
2025-10-31 17:08:26.788 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:08:26.824 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:08:28.179 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:08:28.186 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:08:28.187 [main] INFO  c.q.xiaohashu.user.biz.XiaohashuUserBizApplication - The following 1 profile is active: "dev"
2025-10-31 17:08:28.532 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a14750eb-dc31-36c4-b31f-87c563b7908e
2025-10-31 17:08:28.745 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2025-10-31 17:08:28.750 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-10-31 17:08:28.751 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-10-31 17:08:28.817 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-31 17:08:28.818 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 618 ms
2025-10-31 17:08:28.865 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-10-31 17:08:29.039 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-10-31 17:08:30.425 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 17:08:31.721 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 17:08:31.781 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2025-10-31 17:08:31.785 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:08:31.785 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ans.namespace attribute : null
2025-10-31 17:08:31.786 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ALIBABA_ALIWARE_NAMESPACE attribute :null
2025-10-31 17:08:31.786 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from namespace attribute :null
2025-10-31 17:08:31.795 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [req-serv] nacos-server port:8848
2025-10-31 17:08:31.796 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [http-client] connect timeout:1000
2025-10-31 17:08:31.796 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - PER_TASK_CONFIG_SIZE: 3000.0
2025-10-31 17:08:31.798 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-10-31 17:08:31.798 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-10-31 17:08:31.800 [main] INFO  c.a.n.client.auth.ram.identify.CredentialWatcher - null No credential found
2025-10-31 17:08:31.803 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of 2ef8064d-a57f-4634-859b-7f15ac9100b7
2025-10-31 17:08:31.811 [main] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2025-10-31 17:08:31.811 [main] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2025-10-31 17:08:31.811 [main] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2025-10-31 17:08:31.812 [main] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2025-10-31 17:08:31.834 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:127.0.0.1 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"OPENSSL","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-10-31 17:08:32.352 [main] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1761901712209_127.0.0.1_9647
2025-10-31 17:08:32.352 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] Notify connected event to listeners.
2025-10-31 17:08:32.352 [com.alibaba.nacos.client.remote.worker] INFO  com.alibaba.nacos.client.naming - Grpc connection connect
2025-10-31 17:08:32.352 [main] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-10-31 17:08:32.352 [main] INFO  com.alibaba.nacos.common.remote.client - [2ef8064d-a57f-4634-859b-7f15ac9100b7] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$1047/0x0000019c166d0440
2025-10-31 17:08:32.353 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] xiaohashu registering service xiaohashu-user with instance Instance{instanceId='null', ip='192.168.134.1', port=8082, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={IPv6=null, preserved.register.source=SPRING_CLOUD}}
2025-10-31 17:08:32.365 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP xiaohashu-user 192.168.134.1:8082 register finished
2025-10-31 17:08:33.598 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 17:08:33.607 [main] INFO  c.q.xiaohashu.user.biz.XiaohashuUserBizApplication - Started XiaohashuUserBizApplication in 8.283 seconds (process running for 8.866)
2025-10-31 17:14:25.441 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-31 17:14:25.453 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2025-10-31 17:14:25.653 [http-nio-8082-exec-1] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - ==>  Preparing: update t_user SET xiaohashu_id = ?, nickname = ?, birthday = ?, sex = ?, introduction = ?, update_time = ? where id = ?
2025-10-31 17:14:25.777 [http-nio-8082-exec-1] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - ==> Parameters: quanxiaoha_java(String), 朱艳梅(String), 2005-10-30(LocalDate), 1(Integer), 一枚学生(String), 2025-10-31T17:14:25.592530(LocalDateTime), null
2025-10-31 17:14:25.788 [http-nio-8082-exec-1] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - <==    Updates: 0
2025-10-31 17:17:37.631 [http-nio-8082-exec-3] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - ==>  Preparing: update t_user SET xiaohashu_id = ?, nickname = ?, birthday = ?, sex = ?, introduction = ?, update_time = ? where id = ?
2025-10-31 17:17:37.632 [http-nio-8082-exec-3] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - ==> Parameters: quanxiaoha_java(String), 朱艳梅(String), 2005-10-30(LocalDate), 1(Integer), 一枚学生(String), 2025-10-31T17:17:37.630292200(LocalDateTime), null
2025-10-31 17:17:37.633 [http-nio-8082-exec-3] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - <==    Updates: 0
2025-10-31 17:20:03.987 [http-nio-8082-exec-5] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - ==>  Preparing: update t_user SET xiaohashu_id = ?, nickname = ?, birthday = ?, sex = ?, introduction = ?, update_time = ? where id = ?
2025-10-31 17:20:03.987 [http-nio-8082-exec-5] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - ==> Parameters: quanxiaoha_java(String), 朱艳梅(String), 2005-10-30(LocalDate), 1(Integer), 一枚学生(String), 2025-10-31T17:20:03.986501500(LocalDateTime), null
2025-10-31 17:20:03.988 [http-nio-8082-exec-5] DEBUG c.q.x.u.b.d.m.U.updateByPrimaryKeySelective - <==    Updates: 0
2025-10-31 17:20:39.166 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:20:39.203 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:20:40.551 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:20:40.558 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:20:40.559 [main] INFO  c.q.xiaohashu.user.biz.XiaohashuUserBizApplication - The following 1 profile is active: "dev"
2025-10-31 17:20:40.888 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a14750eb-dc31-36c4-b31f-87c563b7908e
2025-10-31 17:20:41.092 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2025-10-31 17:20:41.098 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-10-31 17:20:41.098 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-10-31 17:20:41.165 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-31 17:20:41.165 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 593 ms
2025-10-31 17:20:41.214 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-10-31 17:20:41.384 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-10-31 17:20:42.767 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 17:20:44.081 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-10-31 17:20:44.136 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2025-10-31 17:20:44.140 [main] WARN  com.alibaba.nacos.client.logging.NacosLogging - Load Logback Configuration of Nacos fail, message: Could not initialize Logback Nacos logging from classpath:nacos-logback.xml
2025-10-31 17:20:44.140 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ans.namespace attribute : null
2025-10-31 17:20:44.140 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ALIBABA_ALIWARE_NAMESPACE attribute :null
2025-10-31 17:20:44.140 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from namespace attribute :null
2025-10-31 17:20:44.150 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [req-serv] nacos-server port:8848
2025-10-31 17:20:44.150 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - [settings] [http-client] connect timeout:1000
2025-10-31 17:20:44.151 [main] INFO  com.alibaba.nacos.client.utils.ParamUtil - PER_TASK_CONFIG_SIZE: 3000.0
